,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadar Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
423,11.0,141.0,1.0,19.0,46.0,14.0,28.0,,724.0,7.0,179.0,140.0,18.0,92.0,8.0,141.0,324.0,14.0,148.0,789.0,2.0,0.0,0.0,,32.0,3.0,65.0,230.0,,662.0,197.0,1.0,23.0,187.0,79.0
424,11.0,145.0,1.0,19.0,46.0,14.0,28.0,,808.0,7.0,258.0,156.0,18.0,92.0,8.0,150.0,324.0,14.0,203.0,840.0,2.0,0.0,0.0,,33.0,3.0,65.0,230.0,,752.0,253.0,1.0,24.0,206.0,103.0
425,11.0,171.0,1.0,19.0,46.0,15.0,30.0,,857.0,7.0,265.0,156.0,18.0,109.0,9.0,153.0,331.0,14.0,210.0,957.0,2.0,0.0,0.0,,33.0,3.0,67.0,230.0,,866.0,253.0,1.0,25.0,248.0,103.0
426,11.0,231.0,1.0,19.0,46.0,17.0,32.0,,869.0,7.0,282.0,176.0,22.0,112.0,13.0,177.0,338.0,14.0,210.0,1076.0,2.0,0.0,0.0,,34.0,3.0,67.0,493.0,,960.0,280.0,2.0,26.0,289.0,105.0
427,11.0,235.0,1.0,27.0,56.0,17.0,32.0,,877.0,7.0,313.0,176.0,22.0,137.0,13.0,188.0,342.0,14.0,302.0,1188.0,2.0,0.0,0.0,,35.0,3.0,71.0,518.0,,1020.0,280.0,2.0,33.0,335.0,105.0
428,11.0,258.0,1.0,27.0,57.0,17.0,32.0,,877.0,7.0,394.0,183.0,22.0,164.0,17.0,198.0,355.0,16.0,361.0,1282.0,2.0,0.0,0.0,,37.0,3.0,71.0,669.0,,1101.0,321.0,2.0,33.0,400.0,109.0
429,15.0,287.0,1.0,27.0,64.0,17.0,34.0,,1078.0,7.0,434.0,209.0,25.0,176.0,19.0,215.0,359.0,16.0,377.0,1388.0,2.0,0.0,0.0,,38.0,3.0,71.0,768.0,,1168.0,367.0,2.0,34.0,477.0,119.0
430,15.0,287.0,1.0,29.0,65.0,17.0,34.0,,1092.0,7.0,527.0,209.0,25.0,192.0,19.0,216.0,369.0,16.0,461.0,1593.0,2.0,0.0,0.0,,39.0,3.0,90.0,768.0,,1210.0,367.0,2.0,36.0,510.0,124.0
501,16.0,403.0,1.0,29.0,82.0,17.0,36.0,,1094.0,7.0,613.0,209.0,28.0,216.0,20.0,235.0,383.0,16.0,482.0,1773.0,2.0,0.0,0.0,,41.0,5.0,90.0,836.0,,1258.0,441.0,2.0,36.0,555.0,139.0
502,16.0,403.0,1.0,32.0,98.0,17.0,36.0,,1167.0,7.0,735.0,227.0,30.0,247.0,20.0,251.0,392.0,17.0,524.0,1879.0,2.0,0.0,0.0,,55.0,5.0,90.0,1116.0,,1312.0,441.0,2.0,36.0,654.0,139.0
503,17.0,488.0,1.0,32.0,117.0,19.0,36.0,,1256.0,7.0,896.0,227.0,33.0,254.0,22.0,282.0,400.0,17.0,798.0,2000.0,2.0,0.0,0.0,,56.0,5.0,112.0,1121.0,,1341.0,458.0,2.0,39.0,698.0,151.0
