,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadar Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
423,18.0,895.0,1.0,35.0,148.0,27.0,36.0,,2248.0,7.0,2407.0,262.0,40.0,407.0,49.0,443.0,438.0,18.0,1695.0,5652.0,2.0,12.0,1.0,,83.0,7.0,277.0,1890.0,,1629.0,960.0,2.0,46.0,1509.0,456.0
424,22.0,955.0,1.0,36.0,176.0,27.0,36.0,,2376.0,7.0,2624.0,272.0,40.0,427.0,55.0,463.0,448.0,18.0,1852.0,6430.0,2.0,12.0,1.0,,90.0,7.0,277.0,1964.0,,1683.0,984.0,2.0,47.0,1604.0,514.0
425,27.0,1061.0,1.0,36.0,228.0,28.0,36.0,,2514.0,7.0,2815.0,272.0,40.0,454.0,59.0,489.0,451.0,20.0,1952.0,6817.0,2.0,12.0,1.0,,94.0,7.0,298.0,2034.0,,1755.0,984.0,2.0,48.0,1778.0,571.0
426,33.0,1097.0,1.0,36.0,251.0,30.0,37.0,,2625.0,7.0,3071.0,289.0,40.0,494.0,67.0,501.0,458.0,20.0,2096.0,7628.0,2.0,12.0,1.0,,103.0,7.0,298.0,2083.0,,1821.0,991.0,2.0,50.0,1843.0,611.0
427,33.0,1177.0,1.0,36.0,277.0,30.0,37.0,,2918.0,7.0,3301.0,289.0,40.0,523.0,82.0,511.0,469.0,20.0,2168.0,8068.0,2.0,12.0,1.0,,108.0,8.0,313.0,2185.0,,1885.0,1002.0,2.0,51.0,1955.0,649.0
428,33.0,1259.0,1.0,38.0,346.0,40.0,37.0,,3108.0,7.0,3548.0,296.0,40.0,546.0,103.0,520.0,482.0,22.0,2368.0,8590.0,2.0,12.0,1.0,,118.0,8.0,313.0,2262.0,,1937.0,1004.0,2.0,51.0,2043.0,697.0
429,33.0,1332.0,1.0,38.0,383.0,56.0,38.0,,3314.0,7.0,3774.0,310.0,40.0,565.0,105.0,532.0,486.0,22.0,2561.0,9318.0,2.0,12.0,1.0,,119.0,8.0,322.0,2364.0,,2058.0,1012.0,2.0,54.0,2115.0,725.0
430,33.0,1332.0,1.0,38.0,392.0,56.0,38.0,,3439.0,7.0,4082.0,310.0,40.0,581.0,107.0,535.0,495.0,22.0,2561.0,9915.0,2.0,12.0,1.0,,125.0,8.0,357.0,2438.0,,2162.0,1012.0,2.0,55.0,2134.0,758.0
501,33.0,1463.0,1.0,42.0,426.0,56.0,40.0,,3515.0,7.0,4395.0,313.0,40.0,614.0,111.0,576.0,497.0,22.0,2719.0,10498.0,2.0,12.0,1.0,,143.0,8.0,357.0,2584.0,,2323.0,1039.0,2.0,57.0,2281.0,795.0
502,33.0,1463.0,1.0,43.0,471.0,88.0,43.0,,3738.0,7.0,4721.0,360.0,40.0,639.0,111.0,589.0,497.0,22.0,2719.0,11506.0,2.0,12.0,1.0,,149.0,8.0,480.0,2666.0,,2526.0,1039.0,2.0,58.0,2328.0,795.0
503,33.0,1583.0,1.0,43.0,482.0,94.0,43.0,,4122.0,7.0,5055.0,394.0,40.0,666.0,115.0,606.0,500.0,40.0,2846.0,12296.0,2.0,12.0,1.0,,160.0,8.0,772.0,2772.0,,2757.0,1063.0,4.0,59.0,2626.0,922.0
504,33.0,1650.0,1.0,43.0,517.0,94.0,57.0,,4549.0,7.0,5428.0,442.0,40.0,701.0,115.0,642.0,500.0,41.0,2942.0,12974.0,2.0,12.0,1.0,,163.0,8.0,1102.0,2886.0,,3023.0,1082.0,16.0,60.0,2742.0,963.0
505,33.0,1717.0,1.0,43.0,529.0,102.0,58.0,,4898.0,7.0,5804.0,517.0,41.0,726.0,115.0,659.0,500.0,41.0,3049.0,14541.0,2.0,12.0,1.0,,170.0,9.0,1233.0,3061.0,,3550.0,1085.0,29.0,60.0,2859.0,1259.0
506,33.0,1717.0,1.0,43.0,536.0,111.0,59.0,1.0,5104.0,7.0,6245.0,548.0,42.0,741.0,125.0,671.0,502.0,41.0,3049.0,15525.0,2.0,12.0,1.0,,175.0,9.0,1451.0,3158.0,,4058.0,1096.0,43.0,61.0,2880.0,1344.0
507,33.0,1777.0,1.0,45.0,542.0,120.0,59.0,1.0,5532.0,7.0,6625.0,594.0,45.0,775.0,127.0,693.0,503.0,41.0,3138.0,16758.0,2.0,12.0,1.0,,185.0,9.0,1516.0,3317.0,,4829.0,1107.0,43.0,61.0,2998.0,1456.0
